time,year,month,air_temperature_celsius,precipitation_mm,shortwave_radiation_wm2,vapor_pressure_pa
1987-12-01,1987,12,-17.86053285496206,15.310933742043176,1.2101344086021506,113.73522601076228
1988-01-01,1988,1,-16.9893127072242,14.233972921047666,5.663354241338112,117.39857257894283
1988-02-01,1988,2,-14.65202659080768,8.306784839664516,32.70620450191571,130.8237394417431
1988-03-01,1988,3,-10.650976029262722,9.779510259669166,99.44995612286894,186.54873190708517
1988-04-01,1988,4,-3.033623822530103,6.124985190446353,186.4184598765432,307.834472191027
1988-05-01,1988,5,7.621674371534823,75.33394494273438,187.88094832735962,719.5321860876782
1988-06-01,1988,6,13.690698772006613,111.05666097518707,226.03306018518518,1102.169864683246
1988-07-01,1988,7,15.942197459231181,104.15120102339515,221.5035790023895,1247.995523451274
1988-08-01,1988,8,12.077551326956836,91.10122270013932,134.8391763739546,1054.1505545808636
1988-09-01,1988,9,5.03119981553823,45.704205120749464,99.2693886235555,666.1630966786071
1988-10-01,1988,10,-10.241141977617815,37.505060620290465,45.0776049615092,214.8535897198123
1988-11-01,1988,11,-19.945488039652474,19.21435836475638,10.797043209876543,92.49199815572318
1988-12-01,1988,12,-14.060620022845512,20.76549848692366,1.2224701314217443,158.73544864602871
1989-01-01,1989,1,-29.33520591079545,19.963276039845823,6.440427120669056,40.01792279401926
1989-02-01,1989,2,-13.093806148710655,40.936931076814176,31.30604083994709,149.82828641622606
1989-03-01,1989,3,-16.52998572728967,11.54991190417931,112.27102950338822,106.61083280443867
1989-04-01,1989,4,-0.9281652450561069,7.699664374829496,179.29323070987655,405.6951329872705
1989-05-01,1989,5,5.905525523360097,48.464975405796196,192.57105361409796,609.8904049254536
1989-06-01,1989,6,12.70309003194177,102.07072954447227,228.6581049382716,960.5656653606544
1989-07-01,1989,7,15.566534645326726,45.25147317557554,218.9453800776583,1145.612559546771
1989-08-01,1989,8,13.869703813778472,42.04121025274077,154.59609991039426,1098.5967633161415
1989-09-01,1989,9,6.494143168131529,58.13760604539908,102.01198825713735,693.4792539600239
1989-10-01,1989,10,-5.414925905453231,39.12944431849752,41.82782139494427,302.6027536788244
1989-11-01,1989,11,-21.653207418653665,31.73240782398068,10.331947530864198,81.44795537161616
1989-12-01,1989,12,-14.451474150790943,25.246390795054197,1.279910394265233,151.34228698018933
1990-01-01,1990,1,-22.42858867440171,24.463196368483153,6.363757467144564,72.53317644462238
1990-02-01,1990,2,-28.235826646713974,27.444151676032646,34.19392361111111,40.34327513975691
1990-03-01,1990,3,-8.85215288798014,21.985274013239575,98.85801161753518,221.83816919116856
1990-04-01,1990,4,-0.02258095211448108,10.202539675066902,179.06589506172838,426.9846563540443
1990-05-01,1990,5,9.253025534845165,37.305203804940845,231.7918802270012,747.7116947956231
1990-06-01,1990,6,14.140274132622608,59.70725180942793,246.4067052469136,1016.2090303178786
1990-07-01,1990,7,16.706805575791236,130.44854207132772,219.43737753882914,1203.760878403624
1990-08-01,1990,8,13.417089060301464,113.67234378338509,144.2231369474313,1151.2004717563523
1990-09-01,1990,9,5.107689136929025,81.41016283122582,83.37863720100309,674.6600556326847
1990-10-01,1990,10,-7.227915068595621,20.012636174580933,43.74119394537084,259.35344535871474
1990-11-01,1990,11,-20.589342350429945,46.885987394183815,9.72625462962963,92.69922259647907
1990-12-01,1990,12,-20.607841339931667,77.85060997830584,1.2062514934289128,89.88980034700411
1991-01-01,1991,1,-17.853034903413487,36.93980543486575,5.019744623655914,109.55089291658379
1991-02-01,1991,2,-19.20129278273808,10.324332306442585,35.252279265873014,94.81397615507781
1991-03-01,1991,3,-10.877026231827244,70.78258503485912,84.51573126633961,201.87150713997727
1991-04-01,1991,4,-1.1295284695095233,3.8067784650479553,200.33910570987655,400.3858059961541
1991-05-01,1991,5,7.1650310721448704,35.44637814270146,246.01784124850658,637.1588468102123
1991-06-01,1991,6,14.275975757175047,55.33868186213553,256.1684645061728,972.875234939783
1991-07-01,1991,7,13.765582985006404,98.28765366764358,211.70582287933095,1066.4438308562035
1991-08-01,1991,8,9.86291693410567,116.77008528613797,157.65045773596177,872.1835208327238
1991-09-01,1991,9,7.159445063273154,56.82278310932176,97.27437249680507,742.9000477699554
1991-10-01,1991,10,-4.952304032028337,43.15791173047501,42.9459848433555,332.4947557404965
1991-11-01,1991,11,-17.552522277831997,14.156691189800341,12.789276234567902,106.92465741568094
1991-12-01,1991,12,-18.20606009370536,25.79258515845595,1.3139396654719235,108.76569010654076
1992-01-01,1992,1,-18.01859399528911,19.568738304105437,5.624236857825568,110.29746536156564
1992-02-01,1992,2,-20.162961793219893,23.019649355905614,31.587291666666665,90.29995587593005
1992-03-01,1992,3,-10.22579042578252,13.422949406464824,97.92460880812779,207.45548467080835
1992-04-01,1992,4,-5.844196912977395,42.988146132774574,172.85424151234568,287.7069394707307
1992-05-01,1992,5,1.4772119296494566,65.75431494207962,229.40839456391876,476.1349860705395
1992-06-01,1992,6,13.274714851379429,100.98979836116584,242.49470061728394,1029.6837820572482
1992-07-01,1992,7,15.391726163638566,102.42578070115727,215.85875448028673,1248.2056727603235
1992-08-01,1992,8,12.195089450959244,50.02885768959331,154.00592816606928,986.6255133026806
1992-09-01,1992,9,-2.835292922125916,47.91238954174659,108.9593864278911,361.44898340781685
1992-10-01,1992,10,-8.749258627942766,42.64562058207133,43.874483437395725,254.2313974561841
1992-11-01,1992,11,-11.977615398830835,44.1304108219569,9.277040123456791,187.8178226245776
1992-12-01,1992,12,-20.14730069150204,31.981865001892373,1.2609961170848267,88.84905941550647
1993-01-01,1993,1,-18.152573546542897,73.4890521827829,5.606284348864994,113.88826212323588
1993-02-01,1993,2,-15.389808650243822,12.77151447993674,31.20480076058201,137.7431130486442
1993-03-01,1993,3,-8.664686235817499,13.289605114952252,97.53550184315962,232.4869194141095
1993-04-01,1993,4,0.4240985658433942,2.484117659331986,196.5536334876543,454.2196031872176
1993-05-01,1993,5,7.370533736034133,20.9190725996109,231.177645609319,658.5462374666943
1993-06-01,1993,6,14.35815802680122,97.53369130517697,257.7671712962963,1019.314727825109
1993-07-01,1993,7,16.946738364106864,52.58940779697241,232.69314889486262,1160.6289348840937
1993-08-01,1993,8,11.814091270200663,88.20635523075993,136.41830869175627,983.4911949764947
1993-09-01,1993,9,4.261970901489292,158.19622796010435,81.1487095148534,655.056246958339
1993-10-01,1993,10,-3.398205718173756,36.49692651674741,39.65052677788045,391.0650934748225
1993-11-01,1993,11,-13.55565405951603,38.179937740853376,9.670773148148148,173.74942448836273
1993-12-01,1993,12,-14.408644370622483,17.276939011139802,1.2854584826762245,153.78820001892967
1994-01-01,1994,1,-17.55148419205858,11.73092053939584,5.135524193548387,102.15195202085205
1994-02-01,1994,2,-20.06501158759704,7.7199586693446065,38.560630787037034,85.9405311562602
1994-03-01,1994,3,-13.260990462764596,22.602355715982014,92.17258454207736,159.33143214949723
1994-04-01,1994,4,-2.8177006615532605,16.960074424755334,180.44200771604937,346.5806652132936
1994-05-01,1994,5,8.418980863017453,21.546222451981123,240.63425029868577,597.7414718081448
1994-06-01,1994,6,12.081969070434582,192.05284901590858,205.6969922839506,1015.0624434578618
1994-07-01,1994,7,15.64077603740077,65.31359101775891,218.29165098566307,1249.6036219502919
1994-08-01,1994,8,13.806089778613057,62.74794804124895,150.21455047789726,1108.7152924915815
1994-09-01,1994,9,4.623941506279834,25.697817286761904,103.71341999421297,617.6983879425644
1994-10-01,1994,10,-6.411190045264448,31.172393510011887,42.400475460221124,303.6388984559429
1994-11-01,1994,11,-18.5112020280626,51.736110224709364,9.578493827160495,110.17778556115346
1994-12-01,1994,12,-19.633270768196326,24.94246902136865,1.1938336320191159,97.27259112915851
1995-01-01,1995,1,-18.4330583305769,7.729541004778184,5.594759557945042,104.76894436654382
1995-02-01,1995,2,-16.176288781847234,10.214928564099779,32.354293154761905,125.09872362035051
1995-03-01,1995,3,-15.921807086083163,13.44749450286642,103.31950018232156,125.38333577811437
1995-04-01,1995,4,0.9258880403306762,8.587618233583783,178.89141898148148,464.42691331534354
1995-05-01,1995,5,9.302916832380447,49.36290747847494,232.1071594982079,713.0242697461797
1995-06-01,1995,6,13.146296797858383,109.76631348810884,226.83301080246915,1041.2802925956873
1995-07-01,1995,7,14.77118798532797,68.69472656720887,201.47609692353643,1145.9955419196788
1995-08-01,1995,8,11.528752509496542,121.49412137616267,142.33562275985662,1027.390289669263
1995-09-01,1995,9,9.156524531046557,50.69440692847493,97.2762422357253,852.2932541449566
1995-10-01,1995,10,-4.046402194935752,19.090977595279668,44.16149611004792,348.15064241251605
1995-11-01,1995,11,-15.963023016187833,5.39040882919295,11.735139660493827,125.63742470040626
1995-12-01,1995,12,-20.07758113081735,4.921558703181006,1.3540023894862605,88.49597856057555
1996-01-01,1996,1,-22.551852310344714,12.970376908889136,5.886838410991637,69.83616806363196
1996-02-01,1996,2,-18.351178430140692,43.71807790755611,30.42680795019157,107.85705511512693
1996-03-01,1996,3,-10.765974467287776,25.91334974340853,106.17130626281957,188.69175493498005
1996-04-01,1996,4,-4.31379998524983,7.9151058840238875,199.99198765432098,309.73349355686577
1996-05-01,1996,5,6.597723446097461,12.279754605003745,242.0385543608124,526.585622798945
1996-06-01,1996,6,12.705082130432174,54.11042516030662,263.3707037037037,874.7286949740327
1996-07-01,1996,7,14.779634524929918,75.74105859716695,204.65284050179213,1156.970824870739
1996-08-01,1996,8,9.223967365552028,87.12409653565345,157.21271132019115,833.4705162064093
1996-09-01,1996,9,3.2182423061794907,50.56965798187818,96.4983998119213,575.4846220834908
1996-10-01,1996,10,-13.47094065348307,30.602787252238528,51.23204178175476,167.0387022473176
1996-11-01,1996,11,-16.2910396364,22.046724778178373,10.924566358024691,121.94489848531227
1996-12-01,1996,12,-21.61249490143149,8.46019397656761,1.339820788530466,78.59203538746203
1997-01-01,1997,1,-21.39903486108264,10.932665265176666,6.099195041816009,74.42083625080393
1997-02-01,1997,2,-10.366610227312322,10.109858383980708,33.611092096560846,207.31781465180134
1997-03-01,1997,3,-16.317966165850237,1.4813024678979048,115.40731745894237,111.27485854695982
1997-04-01,1997,4,-2.2660234663221104,10.86884436492852,199.47373148148148,347.359529030634
1997-05-01,1997,5,6.546129173360896,30.280176549737803,231.37456615890085,551.0679823112565
1997-06-01,1997,6,13.952032174004444,84.52539972698148,249.5408827160494,1014.4266167479549
1997-07-01,1997,7,15.724763345205702,82.91193771517413,213.07735588410992,1218.058592987662
1997-08-01,1997,8,12.37272599743261,109.11273568323665,135.93589979091996,1115.5977459285946
1997-09-01,1997,9,7.877495341830809,35.0221828778281,101.11018868152006,814.1948767921418
1997-10-01,1997,10,-10.834216509583143,38.6049341402277,47.201815909929174,206.6589311184322
1997-11-01,1997,11,-11.873003472222194,9.99945792208834,10.920608024691358,190.70079676165352
1997-12-01,1997,12,-19.041508717690732,20.56686297049737,1.2663216845878136,103.604420163883
1998-01-01,1998,1,-21.545795001778515,3.4572637530345673,5.812385005973716,78.43887933853902
1998-02-01,1998,2,-14.35118686131068,4.154776803822813,35.574177414021165,149.43604995154587
1998-03-01,1998,3,-7.7724089796824956,4.152356832854309,105.26931930268537,238.77360754814737
1998-04-01,1998,4,0.909901788499667,12.505128321091519,177.69798379629628,403.63764459441194
1998-05-01,1998,5,7.606726890481923,43.81070521331054,229.4278651433692,609.4922862387671
1998-06-01,1998,6,12.373014047410777,70.3570560059319,221.81925617283952,965.4987706688275
1998-07-01,1998,7,15.006722222605106,85.21500514201819,204.68770758661887,1232.183434446218
1998-08-01,1998,8,9.874174536428143,125.99831298675923,122.15847147550777,933.6767756234354
1998-09-01,1998,9,5.470408036973765,60.5041660095047,97.5773144048997,692.2493112545753
1998-10-01,1998,10,-4.604532520745352,10.654829689627832,51.99341325657342,307.5923557497026
1998-11-01,1998,11,-14.309758610195559,5.212856206430416,11.951623456790124,154.39529656312473
1998-12-01,1998,12,-19.53897151331745,14.448965807726921,1.2500746714456392,94.66987722144579
1999-01-01,1999,1,-23.407833091161564,14.330195325232609,5.571790621266428,65.71552817352963
1999-02-01,1999,2,-24.77969076065787,6.309599615651251,35.75755042989418,57.63277675553553
1999-03-01,1999,3,-13.6319711254489,8.096378564928841,101.74878421049677,151.21531371412476
1999-04-01,1999,4,-3.1053303612602576,18.863909255554034,182.18691280864198,310.9255974003813
1999-05-01,1999,5,5.428325620261603,26.909349460805032,247.92745967741936,504.3994255914663
1999-06-01,1999,6,14.688020239936009,58.747235084965155,242.42844290123458,954.5867394904252
1999-07-01,1999,7,15.032044839346327,88.89148502387201,210.04127464157705,1017.2450655573675
1999-08-01,1999,8,12.946526381790022,67.05691461180407,164.04169578853046,1063.302531752512
1999-09-01,1999,9,5.513964419894762,61.348956864243576,97.80345849609375,660.4429255111806
1999-10-01,1999,10,-8.650333293791732,30.310917535889104,43.88335108366206,257.76154409942154
1999-11-01,1999,11,-18.070560243394624,18.95471359456735,10.960066358024692,113.3010051747625
1999-12-01,1999,12,-23.172000466623587,39.717016250961024,1.3086723416965353,70.19295722942185
2000-01-01,2000,1,-20.436827743694323,54.219060074974124,4.28162037037037,89.96184208867075
2000-02-01,2000,2,-12.086335508850766,10.74715181277952,33.72928480204342,190.6787707617813
2000-03-01,2000,3,-9.111622238159157,9.718852371126019,100.50391710488742,217.40680939708074
2000-04-01,2000,4,-3.81475319332543,5.462367786432054,203.59441589506173,308.7058859652766
2000-05-01,2000,5,3.5061136758455973,58.28518374829628,235.4414829749104,519.9868846543975
2000-06-01,2000,6,13.755834791395444,60.128284234128415,260.6398533950617,1009.9532136525639
2000-07-01,2000,7,13.560812599428289,87.42944270896302,199.2727635902031,1084.0819737575898
2000-08-01,2000,8,8.541469889815176,127.3628802666451,131.15787634408602,863.5650168731065
2000-09-01,2000,9,2.8350827746921254,79.48180378261327,83.18774021026235,607.8025787143066
2000-10-01,2000,10,-7.223239910987104,22.96306388728908,47.040086400933305,276.3283164662534
2000-11-01,2000,11,-10.854408539666053,17.80470363955189,10.966481481481482,209.64037285976207
2000-12-01,2000,12,-13.85167693271427,10.842404391269156,1.3086111111111112,147.5267067359253
2001-01-01,2001,1,-12.229824550177455,13.183584592354691,5.382041517323775,178.8631875274902
2001-02-01,2001,2,-13.019828882671504,16.29936953937161,34.18459656084656,161.61779367438623
2001-03-01,2001,3,-13.739468986757345,17.156494988856963,99.68467742515436,147.74626604227572
2001-04-01,2001,4,-3.149406390719946,14.665849148670418,184.08740586419754,348.46756052025165
2001-05-01,2001,5,3.1133304185764814,60.94033487500994,232.27281287335722,522.669973259019
2001-06-01,2001,6,13.73472230699332,50.887011240831725,252.96635030864198,953.3918928139115
2001-07-01,2001,7,12.903805217948047,110.0948096054708,175.48140456989248,1117.721831112017
2001-08-01,2001,8,11.803449741486588,96.55791860391005,131.7622640382318,1056.8874714686044
2001-09-01,2001,9,6.851051161024316,15.018647939122332,115.16224373070987,732.825403297331
2001-10-01,2001,10,-6.405061549525101,33.441591551980565,40.918063185861605,278.7644660868336
2001-11-01,2001,11,-14.70630435943599,1.4326055507822844,11.309648148148149,141.47485168631135
2001-12-01,2001,12,-20.443428338983978,8.371248750144389,1.3231645758661887,87.26183958242089
2002-01-01,2002,1,-15.273579189341547,26.055612808420392,5.462562724014337,146.0588423183217
2002-02-01,2002,2,-15.349134690420954,5.831554571393838,34.155157903439154,131.90381280170382
2002-03-01,2002,3,-12.185672157041438,4.542605651636222,112.44459891808076,152.6405985013711
2002-04-01,2002,4,-6.215506045023574,80.00231320280093,160.94703935185186,266.01085794352775
2002-05-01,2002,5,6.327527392807838,25.390949600360813,264.95593862007166,528.8437700002476
2002-06-01,2002,6,12.248471366034664,78.95304975517092,244.87451311728395,921.3653918489871
2002-07-01,2002,7,14.145934348978017,111.20769590659307,200.29035692951015,1145.5885254038863
2002-08-01,2002,8,10.39035808194069,119.71335292914631,156.3751485961768,908.1164549217734
2002-09-01,2002,9,6.185488933987131,56.53399579087903,93.68263020833334,744.2337119101757
2002-10-01,2002,10,-1.9157277507166555,34.03168288602387,43.60458350834453,425.4393647393293
2002-11-01,2002,11,-7.508525276184059,6.848131484783693,10.223467592592593,272.94467507230104
2002-12-01,2002,12,-13.749755789643928,8.127047429489664,1.2171460573476702,170.99307689440906
2003-01-01,2003,1,-16.431823148009585,14.480104805269178,6.19625,118.51996193624356
2003-02-01,2003,2,-11.101663584936205,32.49867464142042,30.636350859788358,196.77710250774626
2003-03-01,2003,3,-13.767706237300729,7.139707339792523,106.89245354382368,147.4274504218367
2003-04-01,2003,4,-2.829350005255776,6.201882899130595,193.82257021604937,331.3679295482891
2003-05-01,2003,5,5.878042659964649,22.305274257004015,232.60596326164875,506.31486319703043
2003-06-01,2003,6,13.366762521531882,50.47797759307571,268.0411712962963,828.5726009573233
2003-07-01,2003,7,14.063824754120219,179.57691214805038,192.29971102150537,1095.6239526059821
2003-08-01,2003,8,11.364840731056802,91.27442665199581,157.14042562724015,971.1882212766218
2003-09-01,2003,9,2.834577136569578,49.32830687192791,99.62883405219183,520.0528916687003
2003-10-01,2003,10,0.2945398802398813,22.876573823680246,40.546872937778986,470.1190488918513
2003-11-01,2003,11,-14.85375955369733,58.28671045268763,8.77465586419753,161.21476818497757
2003-12-01,2003,12,-19.718004669681648,13.06462509374029,1.3465083632019117,95.9777939106522
2004-01-01,2004,1,-24.46754547037102,11.376967701380636,6.592113201911589,55.51408681859973
2004-02-01,2004,2,-14.391834421267447,9.781583772923597,33.38949712643678,147.8841706972267
2004-03-01,2004,3,-15.325756557013392,8.962047090978587,106.70366646496626,125.93926661882671
2004-04-01,2004,4,-1.5716101116603909,9.658369456381877,184.46908333333334,373.2774113757183
2004-05-01,2004,5,8.380924889349217,68.71471560310383,198.82138515531662,722.0984500996389
2004-06-01,2004,6,17.66391241285538,37.266482502310794,273.8560540123457,1169.8412608717126
2004-07-01,2004,7,17.29072782865137,71.63451733589099,224.2468421445639,1236.6748836112351
2004-08-01,2004,8,15.83752294560918,18.89817222510004,195.4127725507766,1121.8780528375469
2004-09-01,2004,9,2.0430524614122305,41.5523306736425,105.2229827353395,471.7263654692807
2004-10-01,2004,10,-3.0488382483040937,35.08080989320206,40.591011186460726,374.4596909171308
2004-11-01,2004,11,-12.381545554267007,20.37472071333113,9.600814814814814,184.56288410922048
2004-12-01,2004,12,-19.32043696167645,28.288873976652695,1.200448028673835,99.79326384869955
2005-01-01,2005,1,-18.342624020320102,32.56822069594989,6.68913082437276,105.47843618353966
2005-02-01,2005,2,-16.199030031476696,10.949828122267746,33.62955522486772,127.74817202669794
2005-03-01,2005,3,-8.863874345184627,10.102716645615573,97.18135945200493,229.1269832021955
2005-04-01,2005,4,-2.011830435858826,17.69075892068983,194.4592137345679,369.644316764969
2005-05-01,2005,5,10.876293149558478,56.48354371320963,227.47689516129032,810.546981908699
2005-06-01,2005,6,14.463359620836059,131.36516746554605,242.29920061728396,1147.4432740820855
2005-07-01,2005,7,14.794157672184781,91.93013280438578,237.95630749701314,1089.1664754007493
2005-08-01,2005,8,13.391118027061566,35.298744063123166,180.62938844086023,1017.6084330260916
2005-09-01,2005,9,6.011293411254883,86.56635024351189,71.4713036265432,761.8405097147513
2005-10-01,2005,10,-4.008697829707955,12.343735108025555,44.6365569827719,322.8544713655788
2005-11-01,2005,11,-20.632032288445345,33.437194521543034,10.575447530864198,83.0066854196231
2005-12-01,2005,12,-12.18658114197433,17.00149320179989,1.2645131421744324,187.75990833140014
2006-01-01,2006,1,-24.766533792147044,5.2246616640623245,6.4427031063321385,60.52860325386365
2006-02-01,2006,2,-13.136249151683955,36.52654244945097,30.141667493386244,159.1724856954828
2006-03-01,2006,3,-16.16676713266679,5.26418638330739,109.9150013505031,114.83457250927815
2006-04-01,2006,4,-4.269145923190649,21.380334987995298,186.4054675925926,312.3996057830395
2006-05-01,2006,5,7.488826247184534,44.38975394242206,234.8738649940263,625.4021345990257
2006-06-01,2006,6,12.77402502695719,71.44220011953806,226.31960339506173,874.3456117126664
2006-07-01,2006,7,13.895028194304473,108.92872748050664,187.64633437873357,1145.5544216317385
2006-08-01,2006,8,10.608059614448166,129.13848346711632,139.3544041218638,945.0821453311261
2006-09-01,2006,9,7.808607207404293,35.43740615187119,100.8766970486111,797.8645149991424
2006-10-01,2006,10,-1.022945908577185,24.976189437914798,40.59306978396617,432.00004869905973
2006-11-01,2006,11,-19.399444558885335,2.4541189351126036,12.272388888888889,86.96598719815388
